subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
LabjF,.الرجاء تسمية هذه الصورة,74.558,15824,جرة,6772,82.361,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,94.963,12539,سبنر,2496,98.478,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_30.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,112.639,14107,قبعة,1588,115.243,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_300.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,137.334,22036,كلب,1461,139.815,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,148.885,9011,سلايم,10119,160.022,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,172.154,12092,فستان,9783,182.954,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_150.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,231.901,48888,لا اعلم,2828,235.747,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_120.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,290.609,54799,الة حادة,3123,294.75,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,300.837,6029,مثلث,1808,303.669,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,318.598,14883,لطخة,2022,321.641,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_90.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,328.45,6755,نجم,2765,332.231,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_360.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,338.845,6556,مربع,1338,341.211,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,369.746,28476,خماسي,1608,372.371,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,404.431,31986,لا اعلم,2349,407.8,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
LabjF,.الرجاء تسمية هذه الصورة,414.767,6913,قبعة,3951,419.733,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_270.png,3,trial_lists/trial_list_3
