subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
LlNVG,.الرجاء تسمية هذه الصورة,128.273,9889,نجمة,18166,147.472,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,153.925,6409,ارنب,5154,160.105,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_120.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,168.9,8759,تاج,1290,171.211,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,186.154,14910,سبنر,1256,188.443,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_30.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,198.492,10004,اميبا,1559,201.082,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,215.038,13910,بدج,1683,217.746,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_180.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,221.954,4163,مثلت,2638,225.618,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,233.471,7812,كلب,1968,236.468,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,244.083,7574,نجمة,1539,246.655,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_330.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,272.351,25656,خماسي,2071,275.45,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_210.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,285.7,10206,ارنب,1564,288.293,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_90.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,293.963,5629,مربع,1394,296.385,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,303.682,7258,ذئب,1531,306.241,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_150.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,318.521,12244,عصا سحرية,2124,321.671,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_270.png,3,trial_lists/trial_list_3
LlNVG,.الرجاء تسمية هذه الصورة,333.433,11708,بسيط نحم,2436,336.901,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_360.png,3,trial_lists/trial_list_3
