subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
McXns,.الرجاء تسمية هذه الصورة,19.897,12882,ذكلب,12935,33.85,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,42.791,8897,سلحفاة,3050,46.85,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_190.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,62.381,15494,طائرة,4417,67.806,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_310.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,80.833,12993,عطر,1164,83.005,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_160.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,91.801,8759,طائرة,1767,94.574,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_280.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,103.19,8582,منطقة,18165,122.364,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,131.941,9541,طائرة,2795,135.745,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,146.784,11004,قميص,4168,151.962,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_100.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,161.029,9033,عرض,5078,167.115,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_220.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,182.823,15673,نتائج,1188,185.021,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_10.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,193.315,8261,عطر,4095,198.417,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,207.765,9315,هرم,4296,213.07,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,221.786,8679,حظ,1229,224.022,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,229.503,5447,عطر,6345,236.856,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_70.png,1,trial_lists/trial_list_1
McXns,.الرجاء تسمية هذه الصورة,254.335,17446,لامنتهي,3615,258.96,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_250.png,1,trial_lists/trial_list_1
