subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
O63De,.الرجاء تسمية هذه الصورة,196.093,24835,ما عارفة,17568,214.699,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_50.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,225.074,10329,مبعرف,1740,227.845,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_140.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,241.886,13999,امرأة,1050,243.959,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_200.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,260.339,16348,Hexagon,1173,262.536,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_230.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,275.973,13397,دا من راسكم,2722,279.721,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_170.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,302.451,22696,ما قلنا هيكساكون,1179,304.659,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_290.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,309.781,5077,مثلث,913,311.721,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,366.634,54877,كلب لو ذىب,3007,370.666,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,380.942,10230,برضو من راسكم,3251,385.217,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_80.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,402.136,16875,بشبه الهيكسقون,6486,409.645,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_20.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,421.743,12048,دا سيكساقون,11479,434.242,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_320.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,441.774,7494,مربع,4953,447.761,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,459.111,11327,هو كم مرة؟,1657,461.796,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_350.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,469.649,7813,تااااني؟,6831,477.499,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_260.png,2,trial_lists/trial_list_2
O63De,.الرجاء تسمية هذه الصورة,485.254,7728,من راسكم,2564,488.841,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
