subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
OdKik,.الرجاء تسمية هذه الصورة,74.139,14447,مثلث,35389,110.567,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,186.67,76022,قبعة,6681,194.381,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_290.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,203.418,8994,نجم,2819,207.27,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_20.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,212.202,4875,مربع,1853,215.091,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,276.468,61334,شكل سباعي الاضلاع,1347,278.838,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,282.591,3709,نجم,1433,285.054,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_350.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,295.574,10484,ارنب,2454,299.051,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_110.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,304.382,5286,لا اعلم,1503,306.923,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_200.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,339.476,32508,لا معرفش,1409,341.908,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,349.378,7421,نجم,1564,351.965,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_320.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,356.743,4729,ذئب,4688,362.467,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,369.222,6704,لا اعلم,2234,372.484,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_170.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,384.811,12283,لا اعلم,1726,387.562,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_80.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,401.863,14255,نجم,4343,407.231,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_260.png,2,trial_lists/trial_list_2
OdKik,.الرجاء تسمية هذه الصورة,415.415,8143,لا اعلاااااااااااااااام,1282,417.729,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
