subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
PSsjI,.الرجاء تسمية هذه الصورة,26.989,17659,مخده,6934,34.937,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_80.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,41.152,6184,فستان,6431,48.59,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_140.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,53.678,5058,نجم,1785,56.469,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_350.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,63.142,6641,نجم,2053,66.199,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_20.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,70.707,4477,مربع,1431,73.143,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,84.524,11349,ذئب,3237,88.767,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,96.227,7428,مثلت,1241,98.474,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,113.799,15304,kKk,1810,116.615,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_320.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,127.44,10794,بيت,4343,132.789,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_260.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,148.527,15706,مخده,2984,152.516,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_110.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,159.097,6549,بيت,1447,161.549,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_290.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,176.678,15096,Plant pot,2296,179.979,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_170.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,188.851,8841,بيت,1170,191.026,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_230.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,195.759,4699,نجم,4241,201.006,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
PSsjI,.الرجاء تسمية هذه الصورة,207.425,6388,تخت,1146,209.578,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_200.png,2,trial_lists/trial_list_2
