subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Pmekc,.الرجاء تسمية هذه الصورة,59.89,28112,نجم البحر,2031,62.964,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_50.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,79.586,16567,أداة النينجا,1649,82.27,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_20.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,106.474,24173,بسيط,2115,109.612,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_290.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,114.979,5329,فستان,1433,117.435,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_110.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,128.463,10992,نجمة,1245,130.736,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_320.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,142.048,11276,منحرف,2968,146.042,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_230.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,158.135,12058,مستذئب,7044,166.205,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,173.45,7215,لا اعرف,1402,175.882,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,182.163,6241,فستان,1059,184.244,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_140.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,192.54,8258,فستان,1599,195.169,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_80.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,234.104,38891,صخرة,3255,238.388,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,242.033,3601,نجمة,1526,244.588,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_350.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,250.181,5557,مربع,2044,253.256,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,257.326,4039,مثلث,2416,260.773,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,2,trial_lists/trial_list_2
Pmekc,.الرجاء تسمية هذه الصورة,268.028,7223,نصف نجمة,1962,271.012,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
