subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
QM2NW,.الرجاء تسمية هذه الصورة,36.915,23261,خماسي,20510,58.465,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_230.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,78.383,19873,نجمة,3157,82.555,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_290.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,90.134,7535,ارنب,5336,96.494,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,110.235,13698,نجم بحر,3716,114.968,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,124.804,9792,مربع,1763,127.58,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,138.735,11110,ذئب,1767,141.517,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,146.468,4906,نجم,1486,148.966,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_20.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,153.335,4322,نجم,2224,156.572,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_320.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,177.583,20966,بقعة,1537,180.133,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,183.867,3704,دب,1612,186.492,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_170.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,192.294,5759,دب,1953,195.262,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_140.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,207.055,11765,خماسي,4288,212.364,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_200.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,216.924,4506,ارنب,1461,219.391,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_80.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,225.746,6329,مثلث,1371,228.135,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,2,trial_lists/trial_list_2
QM2NW,.الرجاء تسمية هذه الصورة,241.634,13458,نجمي خماسي,2023,244.67,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
