subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
R9evT,.الرجاء تسمية هذه الصورة,27.516,19938,ذئب,34344,62.869,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,93.107,30214,بلوزه,9835,103.947,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,109.724,5756,مثلث,3927,114.656,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,120.589,5914,نجمه,1925,123.518,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_360.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,152.518,28979,بلوزه,4209,157.732,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_150.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,167.659,9905,نجمه,4258,172.921,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_30.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,180.884,7943,خماسي,4046,185.935,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_210.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,204.556,18600,نجمه مختلفه,2569,208.13,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,233.955,25803,خماسي نجم,1659,236.619,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_270.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,246.099,9460,فستان,2018,249.121,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,253.366,4224,مربع,1509,255.879,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,280.425,24525,نص نجمه نص مربع,1673,283.102,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,299.48,16357,نجمه خماسيه,3134,303.619,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,323.199,19559,متدحرج,4330,328.534,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_180.png,3,trial_lists/trial_list_3
R9evT,.الرجاء تسمية هذه الصورة,350.943,22387,متدحرج جدا,1362,353.309,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
