subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
RJ4Yb,.الرجاء تسمية هذه الصورة,8.907,6149,نجم,1724,11.643,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,23.088,11422,خماسي,2188,26.305,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,33.354,6997,نجم البحر,3181,37.558,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_340.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,41.526,3930,قطة,1880,44.431,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_130.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,54.644,10165,ارنب,1588,57.26,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_100.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,62.86,5544,مثلث,1483,65.369,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,70.168,4740,وجه,1995,73.19,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,82.808,9570,نجمة مع مربع,1364,85.202,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_280.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,97.867,12608,بقعة الوان,7200,106.091,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_40.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,120.97,14816,نجمة مع شكل خماسي,1318,123.31,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,129.629,6255,وجه,1960,132.615,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,136.661,4000,مربع,1720,139.42,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,145.967,6490,نجمة مع مربع,2709,149.704,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_250.png,1,trial_lists/trial_list_1
RJ4Yb,.الرجاء تسمية هذه الصورة,168.138,9860,لا يوجد صورة,4389,173.551,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
