subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
RyKMT,.الرجاء تسمية هذه الصورة,110.697,48402,ورده,14203,125.938,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_190.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,135.287,9301,ارنوبي,3432,139.737,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_100.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,147.244,7469,فازا,3040,151.305,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,161.789,10450,نجمه,4401,167.208,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_310.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,193.618,26386,زائد,2887,197.52,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_40.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,213.507,15954,كلب,10113,224.654,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,254.549,29819,هندسي,2451,258.03,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,267.931,9866,عشوائي,2311,271.263,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_70.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,285.644,14350,مثلث,2590,289.254,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,296.197,6910,نجمه,3165,300.38,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,310.448,10045,مربع,4149,315.619,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,328.868,13211,نجمه,1605,331.494,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,337.772,6251,نجمه,1425,340.212,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_10.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,348.133,7888,هندسي,2053,351.203,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_220.png,1,trial_lists/trial_list_1
RyKMT,.الرجاء تسمية هذه الصورة,377.293,26055,Body,3262,381.572,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_130.png,1,trial_lists/trial_list_1
