subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
SFd6c,.الرجاء تسمية هذه الصورة,120.276,52756,كلب,14531,135.871,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,386.341,250376,خط مغلق,9282,396.655,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_100.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,403.69,6958,معين,1856,406.581,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,414.468,7843,مثلث,1702,417.216,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,436.771,19497,نجم,8695,446.499,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,461.241,14680,خط مغلق,1393,463.655,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_130.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,492.4,28644,شكل هندسي,1886,495.316,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,503.273,7859,شكل هندسي,2300,506.614,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_310.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,521.867,15197,شكل هندسي,4101,526.99,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,535.892,8848,خط مغلق,1291,538.214,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_190.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,544.992,6696,خط مغلق,1294,547.308,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_70.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,551.973,4621,شكل هندسي,1467,554.463,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,561.59,7065,مربع,7290,569.912,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,575.539,5581,خط مغلق,1182,577.74,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_40.png,1,trial_lists/trial_list_1
SFd6c,.الرجاء تسمية هذه الصورة,581.791,4006,خط مغلق,2958,585.783,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_160.png,1,trial_lists/trial_list_1
