subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
SHvTF,.الرجاء تسمية هذه الصورة,153.995,143805,Pentagon,18682,173.692,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_260.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,233.491,59769,Night star,1705,236.2,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_350.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,255.267,19043,Plop,2642,258.914,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_80.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,265.87,6932,Fox,2081,268.956,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,278.494,9515,Dress,2624,282.122,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_110.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,292.268,10122,Vas,3596,296.869,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_200.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,308.042,11147,Ninja star,3528,312.576,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_320.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,334.691,22091,Pentagon,1205,336.901,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_230.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,342.625,5700,Vas,1770,345.401,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_170.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,351.667,6241,Square,2385,355.056,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,370.708,15628,Sqrow,1183,372.897,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_50.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,377.378,4459,Vas,2240,380.624,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_140.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,390.685,10037,⭐️ star,1881,393.576,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_20.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,408.811,15211,Triangle,3136,412.951,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,2,trial_lists/trial_list_2
SHvTF,.الرجاء تسمية هذه الصورة,417.058,4083,Star,1598,419.662,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_290.png,2,trial_lists/trial_list_2
