subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
SNR1B,.الرجاء تسمية هذه الصورة,82.654,32942,شكل غير منتظم,14635,98.328,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,142.856,44487,شكل,1535,145.409,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_240.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,159.142,13695,نجم,2363,162.523,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,179.107,16549,هاسكي,2078,182.202,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,190.976,8735,شكل غير منتظم,2072,194.069,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,269.714,75609,شكل هلامي,2480,273.212,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_90.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,279.565,6317,نجم,973,281.558,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_330.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,286.099,4503,نجم,1083,288.198,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_360.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,298.099,9863,وجهه,1084,300.201,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,305.618,5385,مثلث,1985,308.625,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,326.553,17896,شكل غير منتظم,2748,330.321,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_180.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,335.035,4676,مريع,1041,337.095,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,351.219,14084,شمزيج شكلين,1738,353.978,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_270.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,360.488,6468,شكل هلامي,969,362.475,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_60.png,3,trial_lists/trial_list_3
SNR1B,.الرجاء تسمية هذه الصورة,369.755,7253,شكل ممزوج,1080,371.854,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_300.png,3,trial_lists/trial_list_3
