subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
SzAEd,.الرجاء تسمية هذه الصورة,256.267,191455,شبه نجمة,33909,291.225,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,321.416,30143,سبنر,7349,329.79,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_20.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,346.952,17127,كلب,1733,349.724,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,361.764,12004,نجمة,2268,365.067,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,382.639,17529,مضلع,2053,385.727,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,441.8,56033,وعاء,7221,450.049,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_80.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,468.511,18429,فخارة,4862,474.399,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_200.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,484.391,9957,مثلث,1832,487.251,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,510.299,23017,نجمة مضلعة,3374,514.705,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_320.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,533.262,18523,إيناء,1741,536.03,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_140.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,544.549,8485,وسام,2862,548.441,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_170.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,569.771,21296,مربع منجم,4073,574.876,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_260.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,603.213,28293,سبنر,2669,606.92,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_50.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,614.447,7495,مربع,2584,618.065,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,2,trial_lists/trial_list_2
SzAEd,.الرجاء تسمية هذه الصورة,647.171,29071,حواجب,1340,649.545,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
