subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Tu3cs,.الرجاء تسمية هذه الصورة,23.807,6014,نجمه,9619,34.442,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,46.341,11856,جسم ملتوي,6501,53.848,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,78.368,24481,مزهريه,1383,80.757,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,88.45,7650,ذئب,5118,94.573,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,100.583,5970,مزهريه,1651,103.24,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_150.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,110,6722,مربع,1840,112.844,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,117.259,4375,مثلث,1808,120.074,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,128.182,8066,جسم ملتوي,2134,131.323,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_60.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,135.615,4256,نجمه,1539,138.16,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_30.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,142.778,4589,نجمه,2712,146.496,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,150.527,3982,نجمه,1344,152.884,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,172.069,19147,جسم ملتوي,1585,174.66,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_180.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,178.928,4223,نجمه,1324,181.259,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,184.468,3165,نجمه,1251,186.725,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_360.png,3,trial_lists/trial_list_3
Tu3cs,.الرجاء تسمية هذه الصورة,192.389,5625,جسم ملتوي,2001,195.396,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_210.png,3,trial_lists/trial_list_3
