subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
UWDVR,.الرجاء تسمية هذه الصورة,36.066,8732,النجمة المربعة,9082,46.175,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_250.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,73.207,26965,كلب الشعر النصفي,10481,84.704,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,106.44,21684,خرطوم ذو يدين,728,108.187,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_100.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,113.16,4932,مربع,1028,115.213,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,120.263,5010,جرة,1145,122.43,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_130.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,135.121,12653,نجمة شبه رباعية,1613,137.749,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,150.28,12490,مخمس,2814,154.113,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_220.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,169.579,15417,نجمة مربعة القاعدة,2308,172.903,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_280.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,180.257,7312,نجمة رباعية,1532,182.809,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_10.png,1,trial_lists/trial_list_1
UWDVR,.الرجاء تسمية هذه الصورة,189.448,6600,اكس,1246,191.709,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_40.png,1,trial_lists/trial_list_1
