subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
UpfRy,.الرجاء تسمية هذه الصورة,66.433,6696,فازة,9103,76.579,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,100.029,23378,فقاعة,4502,105.558,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_60.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,112.791,7191,نجم بحر,3330,117.15,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_330.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,149.688,32498,كلب بنصف فراء ونصف جلد,3099,153.812,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,160.987,7133,نجمة,3185,165.204,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,193.157,27913,اباجورة,1138,195.316,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_300.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,215.723,20368,فقاعة بالون,1255,218.001,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,242.113,24066,حمام سباحة,1260,244.396,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_240.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,251.151,6716,مربع فارغ,2439,254.616,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,270.297,15642,شكل خماسي غير منتظم,2728,274.051,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_210.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,329.494,55404,تحفة فنية,1834,332.358,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_120.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,340.073,7670,مثلث,753,341.852,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,361.981,20077,شكل غير منتظم,1360,364.364,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,378.092,13685,إنارة,1616,380.73,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_270.png,3,trial_lists/trial_list_3
UpfRy,.الرجاء تسمية هذه الصورة,416.623,35858,شعب مرجانية,2869,420.516,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_90.png,3,trial_lists/trial_list_3
