subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Ut2V4,.الرجاء تسمية هذه الصورة,43.47,9383,شبه نجمه,28904,73.391,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,88.947,15531,نجم البحر,10896,100.85,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_360.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,127.884,27011,شكل تساعي,1349,130.241,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_270.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,157.923,27660,شكل مغلق,2669,161.6,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_60.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,181.879,20257,شكل منحرف,1524,184.41,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,198.552,14120,شكل هندسي,2999,202.558,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_210.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,214.459,11877,كلب,2736,218.202,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,229.686,11462,راس حيوان,1522,232.216,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_150.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,247.096,14857,رأس حيوان,3710,251.814,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_180.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,276.202,24365,نجمة غريبه,3478,280.687,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_330.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,289.795,9091,مربع,5031,295.833,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,305.639,9783,راس ارنب,1474,308.121,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_90.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,317.067,8924,علامة,1394,319.47,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_30.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,345.885,26392,شكل له خمس زوايه,2030,348.922,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_240.png,3,trial_lists/trial_list_3
Ut2V4,.الرجاء تسمية هذه الصورة,358.147,9203,مثلث,6535,365.69,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,triangle.png,3,trial_lists/trial_list_3
