subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
UzLFW,.الرجاء تسمية هذه الصورة,72.162,12498,سن,9648,82.82,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_90.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,91.812,8969,نجمة,5102,97.919,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_330.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,108.709,10766,مربع,1726,111.44,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,129.224,17761,نص نجمه,4927,135.156,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_30.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,145.575,10396,كرسي,5284,151.863,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_150.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,205.976,54090,وجه كلب,1392,208.373,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_180.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,232.352,23954,نص نجمه,1553,234.91,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_300.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,243.386,8453,كرسي,3843,248.234,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,266.083,17823,نجم مربع,2021,269.108,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,279.335,10203,نص نجمه,2218,282.558,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,288.334,5753,مثلث,5460,294.799,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,309.493,14672,نجم غير كامل,1399,311.898,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_360.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,349.535,37613,سناب شات بدون رأس,3406,353.945,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_60.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,365.197,11229,كلب,7003,373.205,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,3,trial_lists/trial_list_3
UzLFW,.الرجاء تسمية هذه الصورة,382.752,9524,نص نجم,1696,385.453,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_240.png,3,trial_lists/trial_list_3
