subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
VGxkA,.الرجاء تسمية هذه الصورة,83.143,54034,ليس شكل ربما شعارا ما,30142,114.314,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,307.333,192952,ninja-ken,10300,318.66,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_10.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,349.366,30658,وعاء,16507,366.892,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_190.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,399.09,32170,بكترياء  الاميبا,4547,404.658,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_70.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,441.994,37295,ninja-ken,8591,451.606,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,482.047,30396,مربع,5333,488.401,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,556.836,68390,لافتة,1454,559.312,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_280.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,599.319,39961,ضرس,4103,604.441,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_130.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,611.538,7063,مثلث,1088,613.649,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,621.823,8130,كلب,1708,624.555,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,647.463,22865,جره,2541,651.024,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,690.369,39305,جائزة,2626,694.015,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_250.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,708.79,14713,بكترياء,2311,712.122,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,789.412,77247,فستان,4879,795.313,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
VGxkA,.الرجاء تسمية هذه الصورة,810.825,15465,بيت,1939,813.786,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_220.png,1,trial_lists/trial_list_1
