subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
VK26b,.الرجاء تسمية هذه الصورة,116.096,34687,فخار,17491,134.688,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_110.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,146.973,12224,نجم البحر,5319,153.315,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_50.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,426.102,272733,فازه,8367,435.505,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_200.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,459.738,24136,فطريات,7961,468.715,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_80.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,496.054,27287,المربع النجمي,2142,499.216,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_260.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,506.363,7114,مربع,1968,509.353,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,524.965,15555,المستطيل النجمي,2557,528.544,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,543.723,15124,نجم البحر,3363,548.112,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_20.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,582.423,34257,مستذئب,2172,585.622,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,597.603,11934,متوازي الاضلاع,1819,600.44,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_230.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,605.945,5459,مثلث,2431,609.399,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,625.558,16110,فخار,2486,629.065,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_170.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,634.47,5357,نجم,1935,637.427,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_350.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,705.465,67990,نصف مكعب,2038,708.523,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_140.png,2,trial_lists/trial_list_2
VK26b,.الرجاء تسمية هذه الصورة,734.832,26248,متوازي الأضلاع النجمي,3981,739.835,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_320.png,2,trial_lists/trial_list_2
