subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
W9Kl7,.الرجاء تسمية هذه الصورة,40.989,23041,ورده,19993,62.007,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_60.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,78.33,16229,فازا,2335,81.681,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_150.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,86.392,4645,نجمه,945,88.35,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,93.408,5040,مثلث,1104,95.528,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,103.547,7992,كلب,920,105.482,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,115.067,9557,ارنب,3045,119.133,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_120.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,131.09,11896,نص نجمه,5314,137.423,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_210.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,148.547,11055,نجمه الماسيه,4327,153.892,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,161.951,7996,تاج,928,163.9,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_270.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,170.996,7018,مربع,3332,175.346,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,185.168,9766,تاجي,2122,188.305,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,200.41,12074,غير متوازي,4268,205.696,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_180.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,217.857,12106,م,3651,222.526,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,229.334,6739,ارنب,45953,276.305,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
W9Kl7,.الرجاء تسمية هذه الصورة,285.224,8897,طياره,2513,288.751,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_30.png,3,trial_lists/trial_list_3
