subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
WkIHd,.الرجاء تسمية هذه الصورة,61.514,31604,بيضاء,25176,87.711,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,96.427,8661,شبه نجمه,13144,110.588,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_320.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,137.623,26997,لايوجد صوره,6126,144.759,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,156.913,12125,نجمه الا شوي,5476,163.4,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_290.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,181.869,18426,مثمن,1857,184.737,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,190.244,5461,شاره,1985,193.242,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_200.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,201.105,7820,شبه ارنب,996,203.11,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_80.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,208.858,5711,شبه دب,1628,211.494,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,248.433,36905,لمعه,1930,251.374,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_20.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,261.004,9595,كلب,1059,263.075,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,269.189,6075,نجمه,1797,271.996,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_350.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,293.218,21173,مداليه,2080,296.307,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_140.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,301.677,5323,لا اعرف,1049,303.748,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_110.png,2,trial_lists/trial_list_2
WkIHd,.الرجاء تسمية هذه الصورة,310.733,6942,اميبا😂,2212,313.956,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
