subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
X9Iqr,.الرجاء تسمية هذه الصورة,23.323,11196,نجمة,12230,36.592,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_270.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,47.427,10769,نئب,4704,53.161,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,62.051,8859,سبنر,2436,65.514,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,75.917,10364,شبة المنحرف,4403,81.346,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_300.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,89.859,8471,شبة بيت,1250,92.138,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_210.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,97.552,5370,مثلث,954,99.536,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,106.952,7375,وجة ارنب,1657,109.648,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_90.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,124.151,14457,مربع,1070,126.25,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,135.579,9276,وجه كلب,2561,139.169,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_120.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,154.855,15647,منحنى,886,156.77,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_60.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,175.076,18260,زهرية,2233,178.329,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_180.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,196.924,18536,وجة قطة,1088,199.038,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_150.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,210.832,11759,شبه نجمة,737,212.594,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,219.906,7281,نجمة,1314,222.246,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_330.png,3,trial_lists/trial_list_3
X9Iqr,.الرجاء تسمية هذه الصورة,229.343,7069,نجمة,939,231.308,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_360.png,3,trial_lists/trial_list_3
