subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
XKA78,.الرجاء تسمية هذه الصورة,41.668,19624,بياض,9173,51.863,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,64.7,12797,اميبا,9720,75.442,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,83.82,8338,حاد,3794,88.632,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,112.752,24075,عوج,1103,114.878,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_170.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,128.825,13899,نجمي,3285,133.136,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,159.801,26618,لبابي,1246,162.065,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_110.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,178.262,16149,اوشن,3529,182.813,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,201.803,18945,شوكي,4743,207.567,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_320.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,221.371,13756,درع,6802,229.199,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_200.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,245.388,16143,مربع نجمي,1472,247.89,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_260.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,306.362,58422,نجم,878,308.263,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_350.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,314.992,6685,درع,1596,317.613,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_140.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,329.729,12066,ببلي,1082,331.832,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_50.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,346.307,14429,مربع نجمي,2019,349.352,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_290.png,2,trial_lists/trial_list_2
XKA78,.الرجاء تسمية هذه الصورة,354.836,5437,نجم,1739,357.599,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_20.png,2,trial_lists/trial_list_2
