subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
YDQag,.الرجاء تسمية هذه الصورة,35.104,14751,wlذئب,10511,46.65,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,53.692,6981,نجمه,4572,59.28,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_320.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,64.359,5027,مثلث,5460,70.834,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,89.01,18134,شبه منحرف,3674,93.707,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_200.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,101.218,7462,نجمه,2289,104.538,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_20.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,108.815,4225,مربع,1380,111.209,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,144.917,33649,لا اعلم,1586,147.518,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_80.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,164.508,16940,ليس له اسم,1962,167.482,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,173.298,5771,شبه منحرف,1822,176.138,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_230.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,185.069,8878,راس قطه,1505,187.591,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_140.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,200.183,12549,ماقولنا شبه منحرف,3318,204.518,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_290.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,213.649,9087,ماقولنا نجمه,1605,216.267,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_350.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,223.435,7122,لا اعلم,3323,227.777,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_110.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,233.641,5822,سبينر,1611,236.265,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
YDQag,.الرجاء تسمية هذه الصورة,245.48,9177,لا اعلم,1823,248.316,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
