subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
YHUlw,.الرجاء تسمية هذه الصورة,55.227,43856,فاظه,7494,63.821,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_170.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,73.779,9908,مربع,2500,77.302,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,96.838,19506,كلب,2747,100.607,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,128.625,27988,لا توجد صورة,1598,131.24,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_80.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,149.496,18225,شكل خماسي,1886,152.402,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,159.247,6825,مثلث,1313,161.579,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,183.167,21558,شكل غير منتظم,1599,185.788,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_50.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,195.291,9474,نجمه,2061,198.372,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_350.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,223.012,24609,لا ادرى,5393,229.418,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_140.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,245.92,16471,خماسي,1548,248.486,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_260.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,255.792,7277,نجمة,1830,258.65,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_20.png,2,trial_lists/trial_list_2
YHUlw,.الرجاء تسمية هذه الصورة,270.745,12078,لا ادرى,1901,273.662,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_110.png,2,trial_lists/trial_list_2
