subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
YhRjk,.الرجاء تسمية هذه الصورة,18.866,11047,Vase,10681,30.563,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_130.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,37.149,6552,Star,2259,40.415,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_10.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,48.963,8514,Square,1510,51.479,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,59.22,7708,Pentagon,2165,62.392,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_220.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,78.089,15663,Dress,3356,82.45,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_100.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,101.697,19218,Star,1264,103.967,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_250.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,110.811,6810,Triangle,1198,113.014,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,120.379,7333,Dog,1704,123.089,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,127.231,4109,Star,1305,129.543,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_340.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,204.818,75246,Stat,2335,208.159,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_70.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,232.119,23930,Square,2519,235.644,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_190.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,242.488,6811,Star,4168,247.661,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,256.039,8360,Star,5373,262.418,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_310.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,267.752,5302,Star,1647,270.404,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_280.png,1,trial_lists/trial_list_1
YhRjk,.الرجاء تسمية هذه الصورة,281.752,11305,Vase,2830,285.59,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_160.png,1,trial_lists/trial_list_1
