subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ZHxGr,.الرجاء تسمية هذه الصورة,101.676,58266,خربوشة🤷‍♀️,13739,116.455,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_90.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,125.207,8670,مُثلث,4305,130.54,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,151.839,21252,ميكي ماوس,1586,154.443,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,163.957,9462,نص نجمة,1542,166.525,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_270.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,179.964,13386,بسييط,2217,183.21,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,190.692,7434,نجمة,2621,194.34,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_330.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,206.683,12292,مدري,1797,209.496,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_180.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,220.319,10769,رأس بقرة,1497,222.843,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_150.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,241.29,7798,نص نجمة,1393,243.698,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_240.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,248.265,4525,مربع,977,250.255,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,259.503,9207,كلب,1213,261.732,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,278.823,17044,نص نجمة عاملة ريجيم,2181,282.019,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,291.05,8983,مثلربع,1639,293.708,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
ZHxGr,.الرجاء تسمية هذه الصورة,306.913,13154,نجمة في مرحلة النمو,3558,311.488,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_360.png,3,trial_lists/trial_list_3
