subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ZNw8T,.الرجاء تسمية هذه الصورة,80.023,47447,النجمربع,56116,137.154,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_270.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,153.606,16417,مثلث,8946,163.558,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,239.317,75725,النجم الطلقة,3674,243.997,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_330.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,257.208,13179,مربع,3674,261.886,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,270.914,9004,ارنب,5266,277.186,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_90.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,303.111,25892,ارنب,2271,306.392,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_120.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,370.225,63800,الثعلكلب,2833,374.065,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,482.437,108337,بدچ,11675,495.119,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_180.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,514.533,19380,بقعة,7604,523.143,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_60.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,542.634,19459,نچمٌ يلمع,3960,547.6,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_360.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,571.001,23370,دب,2650,574.657,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,666.462,91772,نجم و دائرة ومربع,1978,669.446,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,797.349,127869,قبعة نجمية,3218,801.581,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,832.563,30939,نجم و دائرة ومربع,1730,835.298,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_240.png,3,trial_lists/trial_list_3
ZNw8T,.الرجاء تسمية هذه الصورة,852.187,16857,علكة,2172,855.365,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_30.png,3,trial_lists/trial_list_3
