subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
aDI2p,.الرجاء تسمية هذه الصورة,40.589,7326,مثلث,10392,51.993,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,65.359,13341,كلب,1549,67.913,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,81.64,13703,لطخة,9708,92.352,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_40.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,97.905,5531,مربع,5292,104.203,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,114.506,10281,خماسي,2892,118.403,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,149.88,31456,نجمة غير مكتملة,1781,152.667,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_250.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,166.791,14100,نجمة,5045,172.841,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,199.707,26842,نجمة داخل مربع,1352,202.063,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_280.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,212.074,9987,شكل غير منتظم,1468,214.547,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_160.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,226.041,11473,شكل غير منتظم,1700,228.745,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_130.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,242.023,13250,لطخة,2773,245.802,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_70.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,255.988,10164,نجمة,1617,258.61,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_10.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,285.336,26703,نجمة بعشرة اضلاع,1774,288.114,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_310.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,295.994,7860,لطخة,1614,298.613,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
aDI2p,.الرجاء تسمية هذه الصورة,307.793,9155,شكل غير منتظم,2602,311.4,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_190.png,1,trial_lists/trial_list_1
