subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
acnAS,.الرجاء تسمية هذه الصورة,74.149,11739,كلب,15086,90.244,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,104.568,14302,نجمة معوقة,12461,118.032,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_320.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,147.856,29805,مُثلَّث,3610,152.47,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,232.958,80467,شكل غريب,2493,236.459,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_260.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,306.43,69952,وجه,2062,309.496,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_170.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,368.828,59310,وجه مفعوص,2342,372.175,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_140.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,379.207,7011,ارنب,6279,386.49,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_110.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,433.339,46828,شكل غريب,4233,438.576,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_80.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,450.889,12290,مربع,5973,457.866,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,498.819,40929,مربع و ثلاث مثلثات مدموجه,9106,508.929,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_290.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,567.938,58986,عرف اكس,3905,572.847,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_20.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,605.011,32142,وجه بجوانب حادّة,1612,607.632,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_200.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,627.636,19985,نجمة,4893,633.534,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_350.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,653.619,20064,بقعة,6542,661.164,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
acnAS,.الرجاء تسمية هذه الصورة,690.613,29427,شكل بستة جوانب,3351,694.969,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_230.png,2,trial_lists/trial_list_2
