subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
amx59,.الرجاء تسمية هذه الصورة,37.978,7751,وسام,7019,46.03,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,58.586,12480,كلب ممكن مريض,2353,61.956,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,75.308,13310,برمودة,1145,77.466,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,105.508,28000,شبه نجمة,1958,108.48,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_300.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,128.888,20370,سلايم,1270,131.172,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,140.874,9661,سلايم ٢,1444,143.332,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,159.156,15779,نجبع,1473,161.642,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_270.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,167.849,6157,سلايم ٣,1624,170.488,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_60.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,177.102,6576,مربع,2098,180.215,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,186.872,6623,وسام ٢,2355,190.243,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_210.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,197.039,6756,فستان,1114,199.165,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_120.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,205.162,5963,فستان٢,1821,207.997,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_90.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,219.16,11116,نجوط,1363,221.534,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,226.813,5238,فستان ٣,1169,228.996,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_150.png,3,trial_lists/trial_list_3
amx59,.الرجاء تسمية هذه الصورة,248.242,19196,طائرة ورقية,1556,250.813,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
