subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
bWhlZ,.الرجاء تسمية هذه الصورة,143.708,8160,مثلث,20059,164.793,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,170.664,5822,كلب,3512,175.193,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,195.808,20578,شكل,3806,200.629,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_210.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,217.107,16438,شبه نجمه,3465,221.587,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,226.056,4429,نجمه,3293,230.365,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,270.357,39965,نصف نجمه,1537,272.908,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_300.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,286.54,13594,شكل,2164,289.728,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,303.026,13259,شكل,2383,306.425,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_180.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,319.668,13196,اكس x,5546,326.229,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_30.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,370.413,44143,شكل نجمي,1841,373.268,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_330.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,378.682,5382,مربع,1633,381.333,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,389.887,8512,خليه,1808,392.714,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,399.366,6610,تاج النجمه,1191,401.572,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_270.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,405.59,3972,ارتب,1813,408.416,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
bWhlZ,.الرجاء تسمية هذه الصورة,418.982,10521,ضفدع,1301,421.3,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_120.png,3,trial_lists/trial_list_3
