subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
cCU3v,.الرجاء تسمية هذه الصورة,43.253,21155,شبه نجمه,10610,54.901,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_330.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,119.462,64512,شبه شكل الطائر,5250,125.727,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_30.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,136.36,10585,مربع منحني,1826,139.199,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_180.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,167.126,27884,نجم ثلاثي الأطراف مربع من الأسفل,1509,169.648,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_300.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,190.887,21185,شبه وجه الأرنب,1483,193.383,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,214.019,20594,نجم مربع من الأسفل,1782,216.813,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_270.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,233.896,17039,مربع او مستطيل,1397,236.304,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,258.201,21870,رباعي الأطراف شبه نجمه,4374,263.587,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_240.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,289.499,25871,معوج من فوق ومقوي من الأسفل,1745,292.256,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_90.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,314.348,22029,شبه آنية فخارية,2068,317.431,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,327.401,9926,نجم رباعي حاد,1275,329.691,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_360.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,339.175,9438,صخري,1722,341.911,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,354.778,12819,كلب,1474,357.267,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,362.604,5292,مثلث,1121,364.739,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,3,trial_lists/trial_list_3
cCU3v,.الرجاء تسمية هذه الصورة,373.554,8772,هلامي الشكل,1367,375.933,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
