subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
cz7ry,.الرجاء تسمية هذه الصورة,66.298,53018,شكل له تسع اضلاع,40307,107.645,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_240.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,150.988,43264,بلوزه,6891,158.902,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,191.476,32523,تاج,8526,201.019,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_270.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,208.091,7041,درع,2989,212.097,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_180.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,238.638,26511,شكل غير منتظم,3234,242.89,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_210.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,260.347,17428,كلب,2666,264.031,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,281.468,17401,اناء فخا,4577,287.062,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,298.852,11760,مربع,2554,302.423,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,311.824,9371,شكل غريب,2223,315.062,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_120.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,334.64,19528,اميبا,3934,339.592,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_60.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,354.392,14770,مثلث,2016,357.428,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,373.57,16108,X,2164,376.753,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,399.21,22427,خنجر,2768,402.998,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,451.197,48167,شكل عشوائي,3871,456.083,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_300.png,3,trial_lists/trial_list_3
cz7ry,.الرجاء تسمية هذه الصورة,470.802,14671,فراشه,1906,473.731,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_360.png,3,trial_lists/trial_list_3
