subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
d4VjS,.الرجاء تسمية هذه الصورة,45.063,24299,شبيهة الساعة الرملية,6269,52.344,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,126.804,74440,Octagon base vase,1340,129.152,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_130.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,134.645,5464,Triangle,1904,137.556,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,142.157,4589,Square,999,144.163,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,258.153,113978,Half starsquared,1210,260.372,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_280.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,270.272,9887,Squeezed pillow,1041,272.319,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,316.739,44398,Non-straight pentagon,2685,320.432,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_220.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,344.236,23792,Halfe rectangular prism starred,1023,346.267,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_310.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,378.552,32268,Curvedsides pentagon,1445,381.004,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_190.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,390.092,9076,Shirt,945,392.046,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_100.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,426.331,34255,Diamond alike,1055,428.393,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_340.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,434.921,6516,Dog,1547,437.476,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,520.618,83124,Squared star,1092,522.718,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_250.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,562.416,39667,Squared face with large cheeks,990,564.414,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
d4VjS,.الرجاء تسمية هذه الصورة,595.456,31013,Wavy cross,1234,597.696,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_40.png,1,trial_lists/trial_list_1
