subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
dPSgb,.الرجاء تسمية هذه الصورة,61.729,14680,قبعة جوكر,22423,85.173,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,124.673,39462,مثلبع,1788,127.486,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,137.284,9768,دب,1419,139.721,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_150.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,147.065,7307,نجمة,852,148.937,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_360.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,167.586,18613,مربلث,1834,170.434,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_240.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,183.609,13148,المغرب,4176,188.797,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_30.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,203.358,14545,Slime,1622,205.991,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_60.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,214.938,8932,ارنب,1933,217.889,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,227.46,9539,كلب,1242,229.719,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,237.388,7643,مربع,1127,239.533,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,248.533,8947,بيت,2240,251.792,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_210.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,262.664,10833,ديانة,1520,265.199,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_330.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,273.546,8310,Vase,1146,275.71,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,282.351,6616,مثلث,2855,286.222,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,3,trial_lists/trial_list_3
dPSgb,.الرجاء تسمية هذه الصورة,304.17,17910,ارنب,1050,306.239,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_90.png,3,trial_lists/trial_list_3
