subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
dl6hz,.الرجاء تسمية هذه الصورة,46.463,24092,مضلع,24374,71.862,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,78.065,6153,مثلث,2058,81.133,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,100.239,19063,رباعي,2524,103.768,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,119.829,16021,لا اعرف,2517,123.352,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_180.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,130.553,7158,لا اعرف,3311,134.87,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_210.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,142.145,7233,مربع,1968,145.118,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,151.367,6210,لا اعرف,2231,154.605,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_90.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,160.319,5675,لا اعرف,1599,162.925,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_150.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,168.412,5447,نجمة,4474,173.891,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_360.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,179.72,5785,كلب,1556,182.282,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,193.283,10990,لا اعرف,3435,197.724,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_30.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,203.268,5500,لااعرف,1397,205.672,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,211.235,5520,لا اعرف,2540,214.78,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_120.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,220.951,6130,لا اعرف,1449,223.407,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_330.png,3,trial_lists/trial_list_3
dl6hz,.الرجاء تسمية هذه الصورة,235.116,11671,لا اعرف,2937,239.061,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_270.png,3,trial_lists/trial_list_3
