subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
eNvog,.الرجاء تسمية هذه الصورة,40.869,10784,خماسي,15055,56.954,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_220.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,78.062,21051,شكل,8502,87.583,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_130.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,109.551,21899,نجمة سبونج بوب,7668,118.235,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_40.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,131.874,13583,مربع,4261,137.151,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,148.537,11355,نجمة,2294,151.85,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,170.018,18097,شكب,3972,175.005,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_160.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,210.98,35892,منحنى مغلق,3240,215.235,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,233.134,17837,Bunny,3482,237.631,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_70.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,242.876,5180,مثلث,3787,247.681,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,262.004,14257,نص نجم نص مربع,4332,267.351,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,279.606,12218,Funny star,3350,283.971,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_340.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,296.298,12267,Funny hat,1073,298.384,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_310.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,313.963,15550,ذئب غريب,1812,316.788,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,331.031,14211,منحنى مغلق,1645,333.689,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
eNvog,.الرجاء تسمية هذه الصورة,353.326,19609,نجمة و مستطيل,5973,360.316,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_250.png,1,trial_lists/trial_list_1
