subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
eNyGH,.الرجاء تسمية هذه الصورة,125.398,17157,منحنى,12314,138.746,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,172.964,34134,شكل تساعي الاضلاع,3875,177.875,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,188.086,10159,خماسي,2231,191.35,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,227.694,36290,شكل غير منتظم,15945,244.668,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_40.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,269.758,25029,تساعي الاضلاع,1385,272.169,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_250.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,297.257,25021,شكل ذو عشرة اضلاع,1733,300.018,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,317.184,17115,شكل غير منتظم,3214,321.42,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_130.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,326.514,5036,مربع,1756,329.296,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,349.171,19817,شكل عشر اضلاع,1745,351.941,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_310.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,371.707,19709,كلب,6689,379.43,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,395.894,16405,شكل غير منتظم,1948,398.867,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_190.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,431.212,32304,منحنى مغلق,2300,434.535,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_160.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,474,39408,شكل غير منتظم,3710,478.734,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_100.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,488.857,10067,نجمة,6404,496.279,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_10.png,1,trial_lists/trial_list_1
eNyGH,.الرجاء تسمية هذه الصورة,508.853,12528,مثلث,1575,511.456,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,triangle.png,1,trial_lists/trial_list_1
