subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
fSCJj,.الرجاء تسمية هذه الصورة,33.301,17621,نجمه,20140,54.463,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_20.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,62.24,7749,مثلث,4063,67.321,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,88.851,21498,نجمه,4476,94.342,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_350.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,110.076,15711,خماسى,1421,112.511,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_320.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,142.39,29858,مش عارفه,6731,150.137,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,177.686,27526,نص نجمه,1676,180.378,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_230.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,188.819,8416,دبدوب,1396,191.231,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_140.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,197.966,6712,مربع,4099,203.086,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,212.917,9809,كب كيك,3577,217.511,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_290.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,229.207,11673,وجه,1511,231.736,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_170.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,242.269,10512,ارنوب,1759,245.044,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_110.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,254.241,9175,كلب,1817,257.079,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,281.532,24430,مش عارفه,2127,284.675,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_80.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,303.306,18607,منحنيات مغلقه,1621,305.943,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
fSCJj,.الرجاء تسمية هذه الصورة,312.98,7012,كب كيك,1149,315.149,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
