subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
fZByo,.الرجاء تسمية هذه الصورة,27.272,12982,مثلث,19507,47.795,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,69.576,21751,نجمة غير كاملة,2532,73.115,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_300.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,89.137,15988,الغرابة,1631,91.778,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_90.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,140.667,48866,شكل لامعنى له,4135,145.808,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_210.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,162.724,16885,نجمة البحر,12088,175.819,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,225.906,50053,نجمة الرسوم,1314,228.232,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_30.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,265.956,37692,اللا مفهوم,1199,268.163,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_120.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,301.451,33258,نجمة منحرفة الشمل,2255,304.711,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,318.99,14248,مربع واسع,5745,325.742,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,344.574,18801,غريب,2185,347.764,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,372.319,24524,نصف نجمة و نصف مربع,7718,381.042,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,397.427,16354,نجمة و مربع مع بعض,1214,399.647,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_270.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,439.057,39376,اللا منطق,2338,442.401,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_60.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,458.023,15596,الاعوجاج,1751,460.778,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_180.png,3,trial_lists/trial_list_3
fZByo,.الرجاء تسمية هذه الصورة,496.461,35648,ذئب بالمظهر فقط,1417,498.884,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,3,trial_lists/trial_list_3
