subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
gE4cQ,.الرجاء تسمية هذه الصورة,75.005,20555,نجمه,17800,93.864,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,105.635,11690,مربع,1614,108.288,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,119.89,11558,كلب,2111,123.04,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,132.372,9285,نجمه,2253,135.649,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_250.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,141.431,5735,نجمه,1643,144.102,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,154.593,10450,شكل غير منتظم,2960,158.588,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_190.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,165.879,7238,نجمه,1843,168.763,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_10.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,173.544,4748,مثلت,834,175.413,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,186.169,10706,فاظه للورود,1517,188.718,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_160.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,211.602,22827,بلوزه او شكل غير منتظم,1090,213.729,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_100.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,224.165,10398,شكل غير منتظم,1459,226.657,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,235.108,8398,نجمه,1178,237.316,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_280.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,247.379,10020,شكل غير منتظم,1411,249.822,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_70.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,258.547,8670,نجمه,1269,260.843,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_40.png,1,trial_lists/trial_list_1
gE4cQ,.الرجاء تسمية هذه الصورة,264.055,3160,نجمه,3166,268.253,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_340.png,1,trial_lists/trial_list_1
