subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
gKGnA,.الرجاء تسمية هذه الصورة,28.204,17882,منزل,5286,34.503,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_210.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,40.178,5650,نجمه,4721,45.904,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_240.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,55.828,9901,نجمه ايسكريم,1934,58.766,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_270.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,68.143,9358,وش دب,4471,73.618,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_150.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,78.135,4495,مثلث,1626,80.766,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,96.238,15451,Top,3113,100.357,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_180.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,109.758,9378,Slimy,1642,112.403,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,121.063,8638,Dog,2390,124.458,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,129.897,5417,Square,2168,133.071,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,136.528,3435,Star,3505,141.038,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_360.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,146.368,5307,Bunny,1439,148.81,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_120.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,155.842,7009,Hat,1747,158.594,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,164.853,6237,Bunny,1684,167.541,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_90.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,180.348,12785,Someone saying yaaaay,1597,182.949,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_60.png,3,trial_lists/trial_list_3
gKGnA,.الرجاء تسمية هذه الصورة,200.571,17600,An animals foot print,2828,204.404,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
