subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ge04G,.الرجاء تسمية هذه الصورة,37.124,11909,نصف نجمه,13724,51.863,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,66.363,14476,نجمه ب اربع اضلاع,5657,73.03,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_240.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,85.462,12403,نجمه ب اربع اضلاع,2377,88.847,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,103.5,14622,ذئب في جسم كلب,1672,106.179,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,148.628,42420,حسيت انو لون على خشبة الالوان بتاعة الرسم,2318,151.955,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,179.322,27334,حسيت ممكن يبقى اصيص للزرع,1802,182.137,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_210.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,198.431,16266,سيف صغير ينفع للشنطه🌚,1661,201.101,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_330.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,230.228,29095,منديل قماش للاطفال(بافته,1784,233.023,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_90.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,241.223,8168,فازه برضو للزرع,2006,244.238,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_180.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,256.64,12377,بافتة للاطفال,1459,259.108,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,264.893,5758,بافته برضو,1599,267.506,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,296.762,29220,ممكن يكون برواز ،او صحن اكل مثلًا,1642,299.413,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,318.01,18578,ميداليه ممكن,2507,321.525,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_270.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,340.1,18552,ممكن تكون زينه,2368,343.477,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_30.png,3,trial_lists/trial_list_3
ge04G,.الرجاء تسمية هذه الصورة,354.359,10857,هرم او مثلث,2560,357.928,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,triangle.png,3,trial_lists/trial_list_3
