subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
h5SZ2,.الرجاء تسمية هذه الصورة,51.403,9036,نجمه,15561,68.013,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,86.648,18569,شكل خماسي,5040,92.715,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_250.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,176.741,83983,منحرف,5945,183.71,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_190.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,211.37,27613,شبه ارنب,4564,216.969,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_130.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,231.876,14861,ذئب,7540,240.449,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,254.853,14360,خماسي غير منتظم,29210,285.094,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_220.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,293.028,7893,مربع,2301,296.365,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,316.428,20021,منحني,1617,319.068,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_160.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,341.776,22663,نصف نجمه ونصف مربع,4901,347.705,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,360.771,13026,نجمه بذيل,3779,365.574,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_340.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,380.043,14428,حلاوه,1426,382.491,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_70.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,401.073,18539,شبيهه النجمه,1382,403.477,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_310.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,409.769,6252,ارنوب,3453,414.247,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_100.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,419.572,5269,مثلث,1620,422.219,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,1,trial_lists/trial_list_1
h5SZ2,.الرجاء تسمية هذه الصورة,443.66,21404,+ زائد,5941,450.631,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_40.png,1,trial_lists/trial_list_1
