subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
h78xX,.الرجاء تسمية هذه الصورة,47.585,10426,مثلث,18004,66.602,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,73.551,6927,مربع,4466,79.021,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,91.637,12591,شبه نجمة,3330,95.972,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_330.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,112.208,16214,نجمة بس ما مكتملة,3174,116.387,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_300.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,124.055,7645,منحنى,3776,128.835,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_150.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,144.597,15739,نجمه عاملة نفسها مربع 😂,4557,150.16,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_270.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,164.852,14674,مربع عامل نفسه نجمة😂,3674,169.531,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_210.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,180.393,10839,كلب,3449,184.846,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,208.55,23680,منحنيات,3001,212.556,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_60.png,3,trial_lists/trial_list_3
h78xX,.الرجاء تسمية هذه الصورة,222.513,9934,شيغذتهمرنكزت,2100,225.619,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
