subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
hwN5J,.الرجاء تسمية هذه الصورة,109.875,49152,طائره,23482,134.368,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_330.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,728.115,593723,بركه,4877,734.002,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,742.205,8168,اطار,5241,748.45,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,763.901,15428,مزهريه,3363,768.269,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_150.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,794.274,25981,باب,1741,797.019,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_210.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,804.012,6974,حلزون,2408,807.424,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_120.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1880.392,1072944,ذئب,1138,1882.541,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1907.986,25411,نجمه مربعه,1741,1910.733,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_240.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1930.668,19910,رخويات,1005,1932.678,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_60.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1939.673,6972,تاج,1309,1941.988,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_300.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1949.369,7358,تاج,2886,1953.259,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_270.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1959.085,5800,نجمه,2860,1962.956,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1966.864,3883,مثلث,4392,1972.262,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1978.109,5822,نجمه,1285,1980.399,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_360.png,3,trial_lists/trial_list_3
hwN5J,.الرجاء تسمية هذه الصورة,1998.681,18259,مكينه,1053,2000.74,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_180.png,3,trial_lists/trial_list_3
