subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
iLklX,.الرجاء تسمية هذه الصورة,87.972,18970,نجمه طياريه,15857,104.84,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_340.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,113.319,8457,مثلث,2755,117.079,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,125.306,8204,نجمه بحر,10519,136.83,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,158.697,21845,خماسي,3452,163.153,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_250.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,183.836,20659,اقل حده من الذي قبله,2101,186.942,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,207.958,20995,اكثر صغرا من الذي قبله,3565,212.529,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_280.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,228.18,15629,هاسكي,4199,233.383,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,245.944,12537,لل اعلم,1396,248.345,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_130.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,271.426,23060,ا,1743,274.174,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_160.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,280.865,6668,ن,1284,283.154,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,292.6,9423,إطار مربع,6428,300.033,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,306.619,6563,ع,1765,309.39,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,317.165,7752,ع,5336,323.505,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_190.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,328.401,4872,ق,1874,331.278,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_70.png,1,trial_lists/trial_list_1
iLklX,.الرجاء تسمية هذه الصورة,334.877,3575,ص,1259,337.142,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_100.png,1,trial_lists/trial_list_1
