subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
iUx1j,.الرجاء تسمية هذه الصورة,33.947,23474,شكل غير متوازن,11025,45.986,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_200.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,57.81,11791,ضرس,1416,60.233,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,69.856,9615,نجمة,1256,72.12,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_320.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,82.371,10243,ضرس,1291,84.671,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_110.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,130.291,45594,شبيه النجمة,1645,132.946,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_260.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,139.825,6852,نجمة,2344,143.176,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_350.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,152.494,9310,شبيه النجمة,1060,154.561,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,163.412,8843,وسام,1645,166.067,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,172.741,6646,ذيب,1058,174.806,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,200.854,26040,مربع,1631,203.498,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,223.098,19576,اربع اطراف,1094,225.199,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_50.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,232.515,7308,غريب,1384,234.904,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_230.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,240.608,5697,نجمة,1272,242.889,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_20.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,250.785,7868,غير متزن,1327,253.119,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_140.png,2,trial_lists/trial_list_2
iUx1j,.الرجاء تسمية هذه الصورة,257.693,4566,مثلث,852,259.552,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,triangle.png,2,trial_lists/trial_list_2
