subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
jGSsd,.الرجاء تسمية هذه الصورة,69.846,15874,وردة,13558,84.46,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_20.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,93.345,8800,بقعة,1819,96.192,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_50.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,112.068,15827,خماسي,1806,114.909,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_230.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,127.128,12170,مزهرية,6358,134.509,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_140.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,237.395,102857,نجمة,1702,240.12,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_320.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,271.273,31112,مسرح,4033,276.328,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_290.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,290.262,13899,ذئب,1628,292.919,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,308.849,15888,عجين,1977,311.847,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_200.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,326.141,14249,ارنب,1348,328.515,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_110.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,347.26,18690,نجمة,3002,351.295,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_260.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,357.083,5747,بقعة,1535,359.639,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_80.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,365.432,5754,مثلث,946,367.397,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,372.76,5319,مربع,1536,375.326,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,387.246,11880,زهرة,1260,389.533,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_350.png,2,trial_lists/trial_list_2
jGSsd,.الرجاء تسمية هذه الصورة,399.006,9418,مزهرية,4228,404.254,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_170.png,2,trial_lists/trial_list_2
