subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
jJpPA,.الرجاء تسمية هذه الصورة,174.723,23842,بقعه,18036,193.773,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_60.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,297.629,103821,نجم البحر او سمك بحري,7139,305.772,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_330.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,390.527,84721,فستان,6732,398.265,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,511.193,112905,المستقبل,3582,515.78,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,598.576,82764,هرم تغذيه,4110,603.691,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,634.112,30390,تساعي,1896,637.013,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_240.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,664.83,27786,شكل غير منتظم,4329,670.164,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,678.281,8085,نجمه,4319,683.605,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_360.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,811.888,128251,ذئب مع كلب 😅,2483,815.377,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,895.03,79620,بقلب الصوره تصبح تنوره,2530,898.565,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,984.957,86359,لا اعلم,2852,988.814,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_90.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,1017.844,28997,لا تيأس,1595,1020.445,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,1041.069,20593,لا اعلم,6178,1048.251,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_30.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,1061.832,13548,٠,2380,1065.216,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
jJpPA,.الرجاء تسمية هذه الصورة,1077.714,12466,٠,1864,1080.582,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_270.png,3,trial_lists/trial_list_3
