subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
k6g2o,.الرجاء تسمية هذه الصورة,31.405,20714,الوحدة,33381,65.802,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,121.664,55832,البداية,18832,141.502,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_150.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,150.719,9185,العرش,15864,167.591,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,185.503,17882,التقاطع,6983,193.493,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_30.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,204.14,10617,النجمة,5866,211.011,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,257.152,46108,التخبط,6247,264.404,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_120.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,279.111,14674,الشيف,10304,290.422,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_270.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,310.5,20047,المرونة,4200,315.707,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_90.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,331.386,15647,الغامض,2180,334.574,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_180.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,372.56,37956,الطفل,5365,378.931,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_300.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,395.598,16639,الثقة,2112,398.717,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,412.634,13885,الالتواء,2113,415.755,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,426.93,11140,الاختلاف,2153,430.089,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,440.053,9931,المثالية,1845,442.905,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,3,trial_lists/trial_list_3
k6g2o,.الرجاء تسمية هذه الصورة,453.833,10897,الحكمة,1645,456.491,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_210.png,3,trial_lists/trial_list_3
