subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
kRrpw,.الرجاء تسمية هذه الصورة,128.672,8919,مثلث,21755,151.447,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,160.812,9298,قدم دجاجه,6424,168.251,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_310.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,179.557,11267,شبه نجمه,3183,183.757,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,196.857,13053,نجمه عموديه,5211,203.082,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_280.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,223.15,20019,الشكل القاروري,7889,232.053,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_130.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,250.318,18224,الشكل النجمي,7520,258.855,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_70.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,271.446,12549,الشكل الفخاري,20484,292.945,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_100.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,310.671,17694,شكل هندسي شبه نجمي,2078,313.765,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_250.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,337.016,23201,الشكل شبه الفخاري,1859,339.887,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_160.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,350.916,10993,الشكل شبه النجمي,844,352.769,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_40.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,373.735,20937,الصوره الناصعه,1589,376.336,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,389.454,13082,الكلب الذئبي,747,391.219,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,400.111,8841,النجمه الرأسيه,2250,403.375,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_340.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,416.066,12644,شكل الشاره,637,417.717,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_190.png,1,trial_lists/trial_list_1
kRrpw,.الرجاء تسمية هذه الصورة,427.599,9851,ذو الاضلاع,541,429.155,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_220.png,1,trial_lists/trial_list_1
