subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
lXC7u,.الرجاء تسمية هذه الصورة,48.672,34028,تاج,15376,65.06,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_250.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,114.437,49356,مزهرية,2790,118.235,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_160.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,157.944,39688,ذئب,4099,163.05,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,194.313,31243,سلاح النينجا,3059,198.378,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_10.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,245.281,46880,شبه نجمه,933,247.225,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,278.689,31434,حيوان لافقري,3894,283.59,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_70.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,299.776,16165,صدرية,3903,304.686,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_100.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,321.281,16574,مثلث,1387,323.676,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,332.501,8802,خماسي,2186,335.695,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_220.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,359.81,24095,اسفنجة,2887,363.703,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_190.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,369.161,5436,مربع,6201,376.37,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,392.749,16358,صدرية بخصر,3843,397.6,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_130.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,422.892,25271,سلاح النينجا للمبتدئين,1751,425.65,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,451.701,26030,سلاح النينجا للمحترفين,1517,454.227,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_340.png,1,trial_lists/trial_list_1
lXC7u,.الرجاء تسمية هذه الصورة,465.098,10850,تاج امير,1721,467.827,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_280.png,1,trial_lists/trial_list_1
