subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
mFLIk,.الرجاء تسمية هذه الصورة,113.75,15151,Bib,28008,142.768,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_100.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,157.231,14435,Throwing star,1886,160.122,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_10.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,168.239,8093,Vase,1677,170.921,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,177.222,6280,Star,1744,179.971,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_280.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,207.93,27938,Blob,2223,211.156,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_40.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1721.409,1510230,Scarecrow,1174,1723.591,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_310.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1732.489,8863,Star,1345,1734.839,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1745.041,10179,Plaque,3551,1749.597,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_190.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1756.325,6705,Dog,3857,1761.187,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1786.297,25086,Pentagon,2357,1789.659,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_220.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1795.128,5446,Square,2959,1799.091,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1810.192,11078,Smear,1537,1812.735,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_70.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1820.126,7370,Triangle,1955,1823.086,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1842.074,18967,Square star,2987,1846.065,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_250.png,1,trial_lists/trial_list_1
mFLIk,.الرجاء تسمية هذه الصورة,1874.548,28459,Nothing,1711,1877.263,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_130.png,1,trial_lists/trial_list_1
