subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
nBjHs,.الرجاء تسمية هذه الصورة,27.771,11950,كلب,20214,48.997,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,78.024,29000,مزهرية,6884,85.917,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_170.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,210.875,124931,أرنب,2740,214.623,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,227.885,13237,طيارة,3108,232,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_20.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,254.562,22534,نجمة,6418,261.988,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_320.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,279.694,17679,أنف,1532,282.232,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_80.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,312.869,30607,بسيط,5204,319.082,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_350.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,334.879,15771,مربع,4463,340.35,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,352.207,11830,مثلث,5312,358.526,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,378.554,20001,قبعة شيف,2874,382.437,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_290.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,408.913,26449,أنمي كرتون,1364,411.285,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_260.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,469.299,57987,بوابة سحرية,8840,479.146,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_200.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,514.428,35255,طائر,4926,520.362,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_50.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,570.683,50294,منزل,2102,573.792,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_230.png,2,trial_lists/trial_list_2
nBjHs,.الرجاء تسمية هذه الصورة,607.91,34090,مزهرية,1791,610.708,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
