subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
nbNYx,.الرجاء تسمية هذه الصورة,37.081,20727,متعدد الرؤؤس,31983,70.082,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,77.337,7225,مربع,3397,81.74,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,88.538,6757,نجمة,3096,92.642,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,114.704,22022,شكل طحلبي,1697,117.408,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_70.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,130.481,13033,متعدد الاضلاع,1661,133.148,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_280.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,141.352,8164,نجمه,2786,145.143,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,163.663,18479,شكل معيني,1349,166.019,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,172.821,6758,طحلبي,1872,175.701,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_40.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,182.469,6718,كلب,3635,187.111,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,222.141,34992,شكل غريب,1556,224.703,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_100.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,242.747,18007,هندسي,1780,245.533,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,257.864,12294,قريب من شكل الدائره,1915,260.785,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_190.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,265.544,4718,مثلث,1588,268.138,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,277.096,8914,مربع,1767,279.868,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
nbNYx,.الرجاء تسمية هذه الصورة,285.311,5399,معين,1592,287.909,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_220.png,1,trial_lists/trial_list_1
