subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
nrD1R,.الرجاء تسمية هذه الصورة,18.5,9882,غريب الشكل,17415,36.931,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_30.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,53.046,16093,نجمه مضيعه عنوانها,1956,56.007,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_240.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,71.818,15790,نجمه تانيه مضيعه عنوانها,3417,76.24,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_270.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,81.834,5571,مثلث,2158,84.996,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,91.801,6783,غريب الشكل,1475,94.28,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,99.265,4963,برضو غريب,1843,102.112,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_90.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,105.805,3670,مربع,1837,108.646,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,121.045,12377,نجمه برضو مضيعه طريقها,1496,123.545,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_300.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,129.499,5931,غباء,3416,133.92,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_180.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,143.437,9495,نجمعه اعتقد,1669,146.111,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_330.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,150.472,4343,كلب,5618,157.094,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,162.72,5604,برضو نجمه,1393,165.118,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,169.044,3904,نجمه,1320,171.369,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_360.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,176.829,5439,غريب تاني,2644,180.478,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_120.png,3,trial_lists/trial_list_3
nrD1R,.الرجاء تسمية هذه الصورة,185.831,5332,غريب جداً,2791,189.626,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_150.png,3,trial_lists/trial_list_3
