subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
nsmiG,.الرجاء تسمية هذه الصورة,38.95,8285,شكل هندسي,21703,61.664,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,69.554,7857,شكل هندسي,3464,74.023,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_260.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,94.761,20706,Polylines,1908,97.675,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_170.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,101.834,4126,Star,1571,104.409,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,135.664,31220,خطوط مقوسة ومخروطة,1784,138.453,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_110.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,164.849,26364,شكل ذو انعواج,2096,167.949,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_80.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,181.668,13687,نجمة,1731,184.404,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_50.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,191.312,6875,شبه نجمة,2616,194.935,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_320.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,198.906,3940,مثلث,1203,201.117,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,204.843,3691,نجمة,1082,206.931,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_20.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,215.729,8765,شبه معين,1811,218.545,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_230.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,222.166,3590,مربع,1239,224.408,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,239.738,15319,ذيب,1791,242.535,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,255.083,12515,شكل غير معروف,1306,257.393,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_200.png,2,trial_lists/trial_list_2
nsmiG,.الرجاء تسمية هذه الصورة,261.486,4060,لااعلم,2320,264.811,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
