subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
olQFY,.الرجاء تسمية هذه الصورة,108.92,35783,مربع ابيض,12285,122.251,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,156.587,34287,نجمة الكاسه,7452,165.07,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,199.934,34817,سكينه النينجا,5241,206.197,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,224.326,18091,رأس ويني الدبدوب,3437,228.791,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_160.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,235.853,7013,خيمه,2036,238.914,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,247.268,8306,رأس أرنب,2634,250.93,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_100.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,267.618,16651,نجمه الكاسه,2127,270.772,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,289.004,18189,شبه مربع,1448,291.48,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_190.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,297.067,5544,مثلث,3335,301.432,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,321.644,20169,كلب اصلع نصفيا,2313,324.983,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,1,trial_lists/trial_list_1
olQFY,.الرجاء تسمية هذه الصورة,334.801,9775,شبه اكس,2958,338.788,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_70.png,1,trial_lists/trial_list_1
