subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
oxDYR,.الرجاء تسمية هذه الصورة,31.063,15667,نجمه غير مكتمله,11978,44.057,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_280.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,66.481,22396,رسم طفل لبيت,1204,68.704,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,80.782,12030,وجه حيوان,1567,83.37,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_130.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,91.652,8237,نجمه بحر,787,93.455,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_10.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,103.123,9620,وجه دب,1018,105.16,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_160.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,109.364,4165,مثلث,1386,111.766,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,121.644,9836,ورده رباعيه,1435,124.095,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_40.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,138.288,14149,نجمه غير مكتمله,3617,142.917,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_250.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,152.4,9432,وجه ارنب,843,154.262,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_70.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,158.769,4465,مربع,3036,162.824,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,170.24,7353,ذئب,2263,173.519,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,182.051,8476,وجه حيوان,800,183.871,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_100.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,201.108,17188,نجوم نينجا,2999,205.123,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_340.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,225.783,20593,رسم لنجمه لم يكتمل بشكل جيد,1407,228.203,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_310.png,1,trial_lists/trial_list_1
oxDYR,.الرجاء تسمية هذه الصورة,238.883,10635,علبه سكاكر,1606,241.5,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_190.png,1,trial_lists/trial_list_1
